anti-,against,anticlimax
de-,opposite,devalue
dis-,not; opposite of,discover
"en-, em-",cause to,"enact, empower"
fore-,before; front of,"foreshadow, forearm"
"in-, im-",in,"income, impulse"
"in-, im-, il-, ir-",not,"indirect, immoral, illiterate, irreverent"
inter-,between; among,interrupt
mid-,middle,midfield
mis-,wrongly,misspell
non-,not,nonviolent
over-,over; too much,overeat
pre-,before,preview
re-,again,rewrite
semi-,half; partly; not fully,semifinal
sub-,under,subway
super-,above; beyond,superhuman
trans-,across,transmit
un-,not; opposite of,unusual
under-,under; too little,underestimate
